Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
175,175,VSS,VSS_R_5,Right,Outside,1.98045113479739,7.91600017140064,1.4384205,0.58725,3.4,0.86,88,
176,176,sdi_C_sclk_io,sdi_C_sclk_io,Right,Inside,4.77963944981839,17.3994074644815,1.3520205,0.62775,5.91296,2.05701,88,
177,177,VDD,VDD_R_4,Right,Outside,3.08818831098919,13.5944047705102,1.4384205,0.66825,4.44009,1.39412,89,
178,178,misc_R_1_i,misc_R_1_i,Right,Inside,4.80371219099253,19.7086327909448,1.3520205,0.70875,5.87433,2.32874,89,
179,179,VSS,VZZ_R_2,Right,Outside,1.99630901849394,10.7029810932554,1.4384205,0.74925,3.4,1.12,90,
180,180,sdi_C_token_o,sdi_C_token_o,Right,Inside,4.83079375791394,22.004257327454,1.3520205,0.78975,5.83092,2.59973,90,
181,181,V33,V33_R_2,Right,Outside,3.95611408889838,18.9536750805114,1.4384205,0.83025,5.18004,2.11521,91,
182,182,misc_R_0_i,misc_R_0_i,Right,Inside,4.8608381389417,24.2849379146867,1.3520205,0.87075,5.78273,2.86989,91,
183,183,VSS,VSS_R_4,Right,Outside,2.0239925141463,14.2657015576788,1.4384205,0.91125,3.4,1.41,92,
184,184,sdi_C_data_3_i,sdi_C_data_3_i,Right,Inside,4.89380443927424,26.5496602603158,1.3520205,0.95175,5.72976,3.13915,92,
185,185,VDD,VDD_R_3,Right,Outside,3.13276097265978,21.1020789591535,1.4384205,0.99225,4.3611,2.12014,93,
186,186,sdi_C_data_4_i,sdi_C_data_4_i,Right,Inside,4.92967276629801,28.7972417241929,1.3520205,1.03275,5.67204,3.40743,93,
187,187,VSS,VSS_R_3,Right,Outside,2.06233961735701,17.983993034842,1.4384205,1.07325,3.4,1.71,94,
188,188,sdi_C_data_5_i,sdi_C_data_5_i,Right,Inside,4.96838860567994,31.0266514144243,1.3520205,1.11375,5.60957,3.67464,94,
189,189,VDD,VDD_R_2,Right,Outside,3.18138612621452,25.9375416167689,1.4384205,1.15425,4.29935,2.54576,95,
190,190,sdi_C_data_6_i,sdi_C_data_6_i,Right,Inside,5.0076373504718,33.159288450176,1.3520205,1.19475,5.54418,3.93377,95,
191,191,VSS,VSS_R_2,Right,Outside,2.11272967918763,21.8043857210893,1.4384205,1.23525,3.4,2.02,96,
